Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,27,"Antonio Gomez","NYY","C","A+",2026,"40","Low",,"22.3305555","6' 2""","210","R","R",2018,"J2","NYY",600000,"Venezuela","Gomez again made no progress on offense in 2023; in fact, his chase and strikeout rates got worse. He's still such a wonderful catching defender in basically all facets (his ball-blocking has improved since his report was last updated) that I continue to have him projected as a backup, but he now profiles as a ""low variance"" prospect because I don't think the bat will ever develop enough for him to be more than that.","UIUzPZR_djw","sa3008746"
,27,"Noah Miller","LAD","SS","ST",2026,"40","Low",,"21.3333333","5' 11""","190","S","R",2021,"Draft","MIN",1700000,"Ozaukee HS (WI)","When Miller was the 36th overall pick in 2021, there was hope he'd develop enough strength to be an everyday shortstop; the defense and contact components were already in place. That hasn't happened, and the 21-year-old Miller has had a below-average overall offense performance at every minor league level because he has roughly 30-grade power. He's still a terrific and precocious shortstop defender with fantastic actions and arm accuracy. A switch-hitter with above-average plate skills and bat-to-ball ability, there's enough offense here for Miller to be a lower-impact utilityman.",,"sa3017512"
,27,"Devin Sweet","DET","SIRP","ST",2024,"35+","Med",,"27.5166666","5' 11""","185","R","R",2018,"UDFA","SEA",1000,"North Carolina Central","Sweet was a 2018 undrafted free agent senior sign by Seattle who, after a 2019 breakout, stagnated at Double-A for most of three seasons before making his big league debut in 2023. He has since hopped around waivers to Oakland, San Francisco, and now Detroit just before list publication. Sweet's Bugs Bunny changeup is a stinker and embarasses a lot of hitters as it parachutes into the center of the zone. He sets it up by throwing his fastball way above the zone, so that it and his changeup look identical leaving his hand. A mid-80s cutter, which sometimes has two-planed slider movement, rounds out a three-pitch relief mix that should play in an up/down role. Trick-pitch changeups like Sweet's tend to be sufficient for low-leverage, single-inning impact, and he'll likely being up and down in 2024 regardless of whose roster he ends up on.",,"25348"
,27,"Damiano Palmegiani","TOR","2B","ST",2026,"35+","High",,"24.1333333","6' 0""","195","R","R",2021,"Draft","TOR",157500,"Southern Nevada","When the Blue Jays selected Palmegiani in the 14th round in 2021, it was their second attempt at drafting him. The Venezuela-born, Canada-raised infielder had previously been selected in the 35th round in 2018, but instead played Division-I and junior college baseball in the US. When he did make his professional debut in 2021, he wasted no time displaying his offensive prowess, slashing .333/.458/.538 in 17 games on the complex. He’s steadily climbed the ranks of the system since then, splitting his 2022 more or less evenly between Low- and High-A, then spending the bulk of 2023 at Double-A before finishing out the season with a strong 20-game Triple-A stint. He’s consistently posted a wRC+ well above league average at every minor league stop, with his hard-hitting power an obvious stand-out trait, bolstered by savvy swing decisions and a patient approach that allows him to be selective at the plate and wait for pitches he knows he can crush. Palmegiani’s thump is largely of the pull variety and is most effective against fastballs, with 16 of his 23 home runs in 2023 (the most in the system from anyone not named Orelvis) coming on heaters, most of which were belt high, while the offspeed and breaking balls he sent out were mostly hang ‘em, bang ‘em mistakes from the pitchers. Defensively, he had spent most of his time at third base, but has never been a particularly comfortable fit there, and since reaching Triple-A, he has seemed to be more firmly planted at first base. His ability to punish pitchers for mistakes and pulverize fastballs to his pull side are good things to be sure, especially when he’s demonstrated patience, but doing so off of a greater variety of offerings will likely be necessary for him to carry his obscene offensive numbers up to the big league level. ",,"sa3017326"
,27,"Eric Adler","CHW","SIRP","A+",2026,"35+","Med",,"23.4166666","6' 2""","190","R","R",2022,"Draft","CHW",200000,"Wake Forest","Adler was dominant on the 2021 Cape and looked like a potential second rounder, but he really struggled to throw strikes during his draft year and fell all the way to the sixth round. Adler has power relief stuff, with three potential plus pitches. After his fastball typically sat 92-95 in college, he lived at the upper end of that boundary in 2023, when his heater sat 94-96. He can vary the shape and speed of two different breaking balls. One is a vertical curveball that sometimes has a bit of arm-side finish, which will make it a weapon against lefties; the other is a harder, two-planed slider in the 86-89 mph range. It's a pretty nasty collection of pitches, Adler just hasn't ever really thrown strikes aside from that Cape Cod stint, and his mechanical inconsistency harms his breaking ball quality in addition to his control. He'd need to be a bit more reliable than we're projecting to grab a meaningful relief role.",,"sa3020592"
,28,"Juan Baez","MIL","3B","ST",2028,"40","Med",,"18.7083333","5' 9""","185","R","R",2022,"Intl15","MIL",,"Dominican Republic","A compact little converted catcher who now plays all over the infield, Baez hit a cartoonish .370/.395/.557 on the 2023 complex and was Milwaukee's best hitter down the stretch of their ACL championship run. Baez has fantastic hand-eye coordination and barrel feel, but he's far too aggressive of a hitter to continue performing like this as he climbs. He lacks the present power and body projection of a long-term third base prospect, and it will be important for him to develop defensive versatility as he climbs because the likely low OBP and medium power output doesn't really fit at third base alone. Baez has a very promising hit tool; the rest needs to develop.",,"sa3018525"
,28,"Richard Matic","NYY","3B",,2030,"40","High",,"16.6277777","6' 2""","230","R","R",2024,"Intl15","NYY",850000,"Dominican Republic","You see massive, power-hitting prospects all over the Yankees' rookie ball backfields and Matic is of that ilk, built like a high school edge rusher prospect. He has big power and is much more graceful and athletic than most players this size. Matic's hands fire from a kind of dead stop. His swing isn't all that long, but he's still often pretty late into the contact area. If he continues to get stronger, his ability to be mechanically simple and more consistently on time should grow. While Matic is admirably agile on defense right now, it's pretty realistic to project an athlete of his size to first base. For now, I've given him some chance to stay at third.",,
,28,"Alexander Albertus","LAD","3B","CPX",2028,"40","Med",,"19.375","6' 1""","176","R","R",2022,"Intl15","LAD",,"Aruba","Albertus tends to be a favorite of analysts more than scouts because his on-paper contact rates and control of the strike zone are his most impressive attributes. That's not to say he lacks old school scouting juice altogether, though. Albertus has athletic lower half usage in the box and a top-hand-driven swing, both of which are characteristics of a good young hitter. He is also adept at moving the bat all over the zone to the eye, it's just that Albertus is of medium build and well below-average power. He has experience all over the infield, including shortstop, but his best long-term fit is probably third base. It's totally plausible that Albertus will get strong enough to outperform his current power forecast, which is only okay for a likely corner defender, and his carrying tool (bat-to-ball ability) is arguably the most desirable. Industry rumors from last trade deadline indicate that Albertus is one of the more popular young Dodger prospects when it comes to trade discussions, and he has a chance to be a good player, though he lacks the physicality to be a star.",,"sa3018950"
,28,"RJ Petit","DET","SIRP","ST",2025,"35+","Med",,"24.4694444","6' 8""","300","R","R",2021,"Draft","DET",125000,"Charleston Southern University","The ironically named Petit has the measurables of an NFL tackle and upper-90s peak arm strength that should facilitate a bullpen role starting in 2025. Because of his size, Petit's fastball has plane that makes it more hittable, and so he relies heavily on his 83-86 mph slider in virtually all counts. He threw changeups more often during the season than what I saw in the 2023 Arizona Fall League, and it's a pitch that is more of a grounder-getter than a bat-misser. His feel for locating it is actually pretty good. There's enough here to project Petit as an optionable up/down guy, but he needs to find a true plus weapon if he's going to hold down an active roster relief role.",,"sa3017848"
,28,"Hayden Juenger","TOR","SIRP","ST",2025,"35+","Low",,"23.5916666","6' 0""","190","R","R",2021,"Draft","TOR",197500,"Missouri State","Juenger pairs a low arm slot with a shorter build than your average pitcher to create a confusing angle that keeps hitters off balance — like a right-handed version of fellow Toronto prospect Adam Macko, but with longer arms. He spent all of 2023 at Triple-A after having finished the 2022 season there, and he worked almost exclusively out of the bullpen in one- to two-inning relief appearances. He did a better job of keeping the ball in the park in 2023, allowing just 1.31 HR/9, but he surrendered hits at a higher clip than in previous seasons, though that may largely be due to a slew of soft contact and a .375 BABIP, much higher than he’s posted previously. His fastball sits 93-96 and plays up due to the incongruity between its shape and his release point, resulting in whiff and chase rates in the mid-30s on the heater. He added some oomph to his slider, with its average velocity jumping from around 84 mph in 2022 to 87 mph in 2023. He threw it slightly more often in 2023, too, with the slide piece accounting for 21% of his pitches (up from 18% in 2022), but it was his changeup that saw the more drastic increase in usage. His cambio usage jumped from 18% to 30% in 2023, in particular against lefties. As with the fastball, both secondaries play up because the arm slot is so funky, but being funk-dependent puts pressure on his command to be effective. His walk and strikeout rates were virtually the same as they were in his shorter 2022 Triple-A stint, with both moving incrementally in the respective right direction, but he still needs to tamp down the walks, which are sitting in the 11% range. Juenger's changeup gives him a platoon-neutralizing weapon, but none of his pitches are plus, making him a lower-leverage option.",,"sa3017103"
,28,"Eduardo Herrera","CHW","3B",,2030,"35+","High",,"17.3861111","6' 3""","180","R","R",2024,"Intl15","CHW",1800000,"Venezuela","The White Sox have tended to stash bonus money in the international space in the event a Cuban prospect hits the market late in the process, but things appear to be changing, as they signed Herrera, a power-hitting third baseman from Venezuela, in January for $1.8 million. The risk associated with Herrera's hit tool is significant and he seems relatively new to third base, as I spoke with multiple international scouts who had him listed as a catcher.",,
,29,"Yerlin Rodriguez","MIL","SIRP","A",2025,"40","Med",,"21.9722222","6' 2""","172","R","R",2019,"J2","MIL",,"Dominican Republic","An athletic, relief-only righty who K'd 10/9 IP in Low-A last year, Rodriguez's fastball averages 96-97 mph and some of his mid-80s sliders are plus. Yerlin's athletic drop-and-drive delivery helps his fastball play as a bat-misser, but his lack of feel for location often prevents him from living in effective fastball locations. He has slam dunk middle-inning stuff right now at age 22 and remains somewhat projectable. Rodriguez checks some visual scouting boxes (mechanics and athleticism), as well as some data-oriented ones (slider movement) besides just his arm strength. He's also a relief-only A-ball arm, so I'm not going too crazy running Yerlin up this list even though he's clearly a good prospect. The 2024 season is his 40-man eval year, so it's possible Milwaukee will promote him a little more aggressively. If he pitches well, he could debut in 2025.",,"sa3015362"
,29,"McKinley Moore","NYY","SIRP","MLB",2024,"40","Med",,"25.55","6' 6""","225","R","R",2019,"Draft","CHW",100000,"Arkansas-Little Rock","Moore stood out pretty much immediately upon entry into pro ball because of his near-elite arm strength. He was sitting 95-98 mph and bending in a plus mid-to-upper-80s slider on the White Sox backfields in 2021, one of the few breakout prospects in a scant farm system. The Phillies acquired him a year later in a trade for former first rounder Adam Haseley, and Moore had a better 2022 than anticipated from a strike-throwing standpoint, ""only"" walking 26 batters in 49.2 innings at Reading. He entered 2023 camp looking svelte and trim compared to prior years, but he was again excessively wild and walked more than a batter per inning in 2023, though he looked quite good during the last month of the season. 
Moore scatters upper-90s fastballs all over the place and has a big breaking upper-80s sweeper. His new-ish physique might help him better control his body and repeat his release as he gets comfortable with it over time. If that's the case, he'll establish himself in a consistent relief role. Until then, he's a classic up/down reliever whose stuff is good enough to miss big league bats but whose control isn't good enough to inspire regular confidence in his manager. He and Andrew Baker are hard-throwing mustangs with big ""if it clicks"" ceilings in this system.",,"25663"
,29,"Samuel Munoz","LAD","1B","ST",2028,"40","Med",,"19.4722222","6' 1""","190","L","R",2022,"Intl15","LAD",750000,"Dominican Republic","Munoz has precocious feel for the barrel and is short to the ball for a hitter his size. The combination of his feel to hit and his frame's projectability is exciting, though with strength and power might come a move from the outfield (Munoz mostly plays a mix of center and right field) to first base. At the very least, Munoz will occupy a corner position. His swing's downward cut is geared for low-lying contact. It may also take a swing change for him to generate corner-worthy power, or feel for loft may come naturally with time. Either way, swing changes or shifts in Munoz's batted ball data over a longer period of time are key things to look for as it pertains to his potential breakout. This kind of contact and body projection foundation on a left-handed hitter is uncommon, and I'd rather this than some of the extreme power-over-hit types in the rest of this system even though Munoz's ceiling is pretty modest.",,"sa3018407"
,29,"Yosber Sanchez","DET","SIRP","A",2026,"35+","High",,"22.8055555","6' 1""","180","R","R",2018,"J2","TEX",,"Dominican Republic","Released by Texas in the fall of 2022, Sanchez showed huge arm strength in Florida for his new club throughout 2023. He routinely sits 94-97 mph, sometimes with close to 20 inches of vertical movement. Built like a catcher, Sanchez and the Tigers are tasked with finding mechanical consistency so he isn't walking nearly six batters per nine going forward. His mid-80s breaking ball has good depth but not especially sharp bite. If even one thing (better control or a better curveball) develops here, we're looking at a solid reliever.",,"sa3011636"
,29,"Fernando Perez","TOR","SP","CPX",2027,"35+","Med",,"20.0833333","6' 3""","185","R","R",2022,"J2","TOR",,"Nicaragua","Perez led Toronto's FCL team in innings and posted a stellar 29% strikeout rate and a 6% walk rate. He isn't an ultra-athletic or projectable teenage pitcher, but he is polished, sitting 91-94 with equal parts above-average rise and run. A big part of Perez's effectiveness stems from the quality and utility of his secondary offerings. His upper-70s curveball has good depth, and he can occasionally create bat-missing arm-side action on his changeup. While he probably doesn't have a terribly high ceiling, Perez has the kind of stuff that would go in rounds three to five were he a draft-eligible player.",,"sa3018826"
,30,"Matthew Wood","MIL","C","ST",2027,"40","High",,"23.0277777","5' 10""","190","L","R",2022,"Draft","MIL",347500,"Penn State","Wood is an undersized, contact-hitting catcher whose ceiling is in the Garrett Stubbs area. His compact lefty stroke generates a ton of soft, all-fields contact, and Wood's bat-to-ball metrics (a 6% swinging strike rate and 85% contact rate) are comfortably plus. Aside from his receiving, which is pretty good considering he didn't often catch pro-quality stuff in college, Wood has some developing to do on defense. His throwing needs the most help, as he sometimes pops close to 2.10. He seems to be experimenting with Patrick Bailey-style sidearm throwing, but Wood is a slower-twitch guy whose exchange takes too long most of the time. Penn State isn't exactly a baseball hotbed and Wood deserves time to develop his defense before there's some kind of damning, collective proclamation that he can't catch. He's tracking like a bat-first third catcher and he could be more of a career backup if aspects of his defense improve.",,"sa3019924"
,30,"Jesus Tillero","LAD","SP","DSL",2028,"40","High",,"17.8611111","6' 0""","190","R","R",2023,"Intl15","LAD",,"Venezuela","Tillero was the youngest DSL Dodgers pitcher and for parts of the 2023 spring, he was sitting 95-97 mph with big vertical movement and monster extension. Like a lot of Dodgers pitching prospects, he is undersized but very athletic and has a clean delivery. He also has feel for locating a harder slider, which doesn't yet have optimal shape. Tillero had a stomach bug in June that put the rest of his season on tilt. He's a volatile prospect because of his demo (teenage pitching) and distance from the big leagues, but he has the characteristics of a seven-figure bonus draftee.",,"sa3021010"
,30,"Andrew Dunford","DET","SP","CPX",2029,"35+","High",,"19.1861111","6' 7""","235","R","R",2023,"Draft","DET",367500,"Houston Co. HS (TX)","Dunford signed for just under $370,000 to eschew a commitment to Mercer. He has an exciting combination of projection (he has room for another 30-plus pounds of mass) and athleticism (big drop-and-drive and hip/shoulder separation), especially for a pitching prospect this size. He only threw four innings after signing, but Dunford's fastball averaged 95 mph out of the chute. Dunford and the Tigers have a ton of work to do on his command and breaking ball situation (he had an inconsistent curveball in high school and is basically starting from scratch in pro ball), but he was a fun mid-six figure pull on the third day of the draft and is an important low-level prospect to monitor.",,"sa3023086"
,30,"Aneudi Escanio","TOR","3B","DSL",2027,"35+","Med",,"19.2916666","5' 9""","170","S","R",2022,"Intl15","TOR",,"Dominican Republic","At age 18, Escanio was one of the Blue Jays' more productive DSL players in his second year down there. He's a very athletic switch-hitter who already has experience at a few different positions. Escanio is strong for his size, and his short levers make up for what is otherwise a bit of a long swing. He's perhaps the most tooled up non-Bonilla DSL prospect in this org, a long-term project as a utility guy.",,"sa3019094"
,30,"Brendan Beck","NYY","SP","A+",2025,"35+","Low",,"25.4333333","6' 2""","205","R","R",2021,"Draft","NYY",1050000,"Stanford","The younger brother of Giants swingman Tristan Beck, Brendan was an ultra-efficient five-pitch starter at Stanford who signed for just over $1 million as a second round pick in 2021. A Tommy John late in 2021 cost him all of 2022 and the first chunk of 2023, after which Beck's trademark pitchability allowed him to dominate second half Sally League hitters. It's possible that the Yankees can do with Beck what has been done with Shane Bieber and Tanner Bibbee: take a soft-tosser with special command and help him throw harder. That hasn't happened yet, and Beck was sitting his usual 90-92 mph coming out of TJ rehab. His slider will likely play as an impact pitch because of his command, but the rest of Beck's stuff is pretty light, and he may be homer-prone against big league power. His curveball and (less often) his changeup are both easy out-of-hand IDs due to release variation, which I expect will get better the further Beck gets from his TJ. Beck's superlative control makes him a high-floored starting pitching prospect, and if he only ever sits 90-92, he fits as a sixth or seventh starter.",,"sa3020680"
,31,"Brady Smith","LAD","SP",,2028,"40","Med",,"19.125","6' 2""","170","R","R",2023,"Draft","LAD",703000,"Grainger HS (TN)","Smith is a medium-framed prospect with medium present velocity, but he checks a lot of other visual scouting boxes, especially his athleticism and natural breaking ball quality. Because of his size, it's a little less likely that he adds significant velocity as a pro. He worked with a fastball, curveball, and changeup at the 2023 Draft Combine, and I thought he was one of the better all-around arms there. He'll sit in the low 90s and the carry on his fastball pairs nicely with the vertical arc of his curve. You can project on the changeup because of Smith's athleticism and arm speed. There are lots of starter traits here, and this report reads an awful lot like Payton Martin's from last year. I put a $1.5 million bonus eval on Smith before the 2023 draft and the Dodgers got him done for $700,000. He didn't pitch after he signed. If he's had an unexpected velo spike the way Martin did, he'll climb the list. As he's currently situated, Smith is more like a secondary-heavy backend starter.",,
,31,"Will Rudy","MIL","SP","A",2026,"35+","Med",,"22.8472222","6' 1""","170","R","R",2022,"Draft","MIL",150000,"Cal Poly Pomona","This is more of a projection valuation of Rudy, whose fastball is still just in the 91-92 mph range as he approaches his 23rd birthday. Rudy's slender build and beautiful delivery are both typical of a big league starter, and he can really spin a breaking ball. He had strike-throwing success (7.8% walks in 2023) across 80 Low-A innings last year, Rudy's first full season of pro instruction coming out of a D-III program. There's enough here to consider Rudy as a spot starter, and though he isn't currently missing a ton of bats, I think there's a chance he'll throw harder into his mid-20s and have a more favorable evaluation in 2025 or so.","3cZAHsEU6UU","sa3020893"
,31,"Nestor Miranda","DET","1B",,2030,"35+","High",,"18.0527777","6' 3""","200","R","R",2024,"Intl15","DET",1500000,"Dominican Republic","Miranda was eligible to sign last year and, at nearly 18 years old, was one of the oldest non-pitching prospects in the 2024 international class. He has absurd power for a teenage hitter, the kind of juice you can feel in your chest when he connects. Currently a third baseman, Miranda is almost certainly ticketed for first base over time, which puts a ton of pressure on his hit tool to facilitate all that power. The Tigers signed Miranda for $1.5 million.",,
,31,"Sam Shaw","TOR","2B","CPX",2028,"35+","Med",,"18.0472222","5' 10""","180","L","R",2023,"Draft","TOR",285000,"Lambrick Park SS (BC)","The Jays gave Shaw a little more than a quarter of a million to sign as a ninth rounder. We think he's one of the more interesting sleepers in the system. His hitting hands are quick and authoritative, and we love the way he uses the ground to generate modest power. Shaw continues Toronto's pattern of targeting short-levered hitters in the amateur space. He's a bat-first developmental second base prospect who could have an impact hit tool.",,"sa3022889"
,31,"Luis Serna","NYY","SP","CPX",2027,"35+","Low",,"19.6444444","5' 11""","162","R","R",2021,"Intl15","NYY",,"Mexico","Serna worked just shy of 20 innings on the complex after returning from a shoulder injury that cost him the first half of the year. He is a very advanced, strike-throwing teenage pitching prospect who lacks prototypical physicality. Serna's fastball is parked in the 91-94 mph range and often has 18-20 inches of induced vertical break. His best secondary is a side-spinning, screwball-style changeup, which has roughly 15 mph of velocity separation from his fastball. He also has a fair 78-82 mph slider, which should play fine because of his command. It's tough to project on Serna's velocity because of his lack of size. He's young, but he hasn't thrown more than 40 innings in a season yet, and not only might it be tough for such a small athlete to throw meaningfully harder, but it might be difficult for Serna to sustain his current stuff under a 120-inning load. Unless his arm strength develops in an unexpected way, he isn't a high-ceiling prospect. Instead, he's the rare low-variance teenage pitching prospect whose fastball's underlying traits, and Serna's command to weaponize it, should lead to a fifth starter role.",,"sa3016528"
,32,"Kendall George","LAD","CF","ST",2028,"40","High",,"19.3694444","5' 10""","170","L","L",2023,"Draft","LAD",1850000,"Atascocita HS (TX)","The Dodgers were rumored to be on Jonny Farmelo with their first round pick in 2023, but he went not long before their selection and they pivoted to George for $500k less than slot. He's a slash-and-dash teenager with elite speed. His wheels will enable him to play center field (his feel isn't great right now, though) and could make him a plus defender out there with development. George is on tape switch-hitting during parts of his high school career but has been exclusively lefty since at least late-2022. His style of hitting  relies on his speed to beat out infield hits, with most of his extra bases coming via doubles grounded into the corners. He looked physically overmatched in pro ball after the draft (I know his surface stats are good, but they're BABIP-driven) and he badly needs to get stronger.  Unless he can develop more pop, his ceiling is that of a modern nine-hole hitter.",,"sa3022660"
,32,"Bishop Letson","MIL","SP",,2029,"35+","High",,"19.4916666","6' 4""","170","R","R",2023,"Draft","MIL",,"Floyds Knobs Central HS (IN)","Letson is a very exciting frame- and delivery-driven projection prospect. He's lanky, generates big extension down the mound, and has lovely natural breaking ball length and depth. Adding velocity will be important, but Letson's build justifies optimism in that regard. This is a high-variance prospect who could really pop at any time. He didn't pitch after the draft and is a key early 2024 follow who could climb this list substantially across the next six months or so.",,
,32,"Tucker Toman","TOR","3B","A",2028,"35+","High",,"20.3333333","5' 11""","187","S","R",2022,"Draft","TOR",2000000,"Hammond HS (SC)","Toman was Toronto's fourth pick in the 2022 draft (he went 77th overall), but he got the second-highest bonus at a cool $2 million, which kept him from joining the star-studded party at LSU. He had a disappointing first full season, slashing .208/.320/.313 with Low-A Dunedin. The FSL is pitcher-friendly, but Toman's issues with whiffs aren't park-dependent. He's always had a better swing and more pure bat speed from the left side than the right, but Toman wasn't tracking pitches well from either side last year. He was an inconsistent hitter on the showcase circuit, too, with fits and starts of hitting for the kind of power that earned him a big bonus. 
Eric was bearish about Toman's defense before the draft, but he looked okay at (mostly) third base in 2023. He has plenty of arm for third, and he showed better hands and actions last season than he did as an amateur. The hope was that Toman would develop into an Oswaldo Cabrera-type of player, who got to enough power to play a multi-positional role despite below-average defense. His hit tool is now in a red flag territory for a corner defender.",,"sa3020132"
,32,"Gabriel Terrero","NYY","2B","DSL",2029,"35+","Med",,"18.4611111","5' 6""","170","S","R",2023,"Intl15","NYY",100000,"Dominican Republic","Terrero is a stocky, contact-oriented middle infielder who posted a 146 wRC+ in the DSL. He tracks pitches beautifully, he's strong for his size, and he executes a pull-and-lift approach that allowed him to hit seven homers, tied for 11th in the league. Terrero's underlying contact metrics (70% contact%, 13% swinging strike%) paint a less pretty picture of his hit tool than his visual scouting report, but the data reinforces the notion that his plate discipline is going to be a water-carrying skill. I love the heuristics of his profile (short-levered switch-hitting middle infielder) and think he has a pro athlete's physicality even at his size. It might not be correct to call him one of this system's more important ""sleepers"" to follow because his 2023 statline made him notable, but that's essentially the way he's FV'd here.",,"sa3021213"
,33,"Jose Ramos","LAD","RF","ST",2025,"40","High",,"23.1972222","6' 1""","200","R","R",2018,"J2","LAD",30000,"Panama","Ramos is a feast or famine corner outfielder who'll hit some epic home runs but also have periods of hapless strikeouts. He's hit about 20 homers each of the last few years, but the Dodgers haven't added him to the 40-man and opposing teams haven't bit in the Rule 5 Draft. Ramos will show you big power and when he's hot, it's a lot of fun to watch, but he tends to sell out for that power and his swing decisions aren't always great. He has a low-ball swing that's vulnerable at the belt and his contact rates are near the bottom of the acceptable range for big league outfielders. It looked like Ramos was breaking out right after the pandemic, but he's plateaued and now looks more like a low-end platoon option.","vP8Xa7YCMaU","sa3008845"
,33,"Harold Chirino","MIL","SIRP","ST",2024,"35+","Med",,"26.1666666","6' 2""","210","R","R",2015,"J2","MIL",,"Venezuela","Chirino showed a velocity bump in the spring of 2023, working 94-97 with sink while mixing in a two-plane curveball in the 80-84 mph range. He didn't really get the opportunity to show what that new velocity would do for his game because rolling rib cage and lat injuries shelved him in late May. He has a cross-bodied delivery with a sinking/tailing heater (up to 98 in the spring of 2024) and a long sweeper. The Brewers have had success with late-breaking arms like this before (think Justin Topa) and Chirinos' arm strength looks intact after those injuries, but he's also been getting shelled so far this spring. He's more of an older, upper-level arm to monitor because Chirinos hasn't been healthy with this kind of arm strength for very long.",,"sa917637"
,33,"Adrian Pinto","TOR","CF","A",2025,"35+","Med",,"21.4722222","5' 6""","156","R","R",2019,"J2","COL",120000,"Venezuela","The compact little Pinto had a huge 2021 DSL statline (.360/.486/.543) but didn't come stateside for instructs with the Rockies, and instead was quickly scouted on the 2022 spring backfields before Colorado traded him to Toronto as part of the Randal Grichuk deal. He has had trouble staying healthy since joining the Jays, with hamstring and quadriceps strains forcing him onto the IL three times in two years. He has played just shy of 80 games in full-season ball combined across the past two seasons. When healthy, Pinto has several catalytic qualities (plus speed and zone control, some bat-to-ball ability) while projecting as an up-the-middle defensive fit, though exactly what position is unclear. He's played all three non-catcher up-the-middle positions as a pro. Pinto's infield hands and actions aren't good, and he hasn't gotten the reps to develop there. He has the speed to play center field but hasn't had a ton of reps there, either. Because of Pinto's size, he lacks traditional power projection. His hit tool and defensive ability will have to carry the entire load if he's going to be a regular in the old school leadoff man mold, but his early career bat-to-ball performance indicates he has a shot. Still, it's more likely that he just passed the A-ball exit on the Otto Lopez highway en route to a 2B/CF utility role.",,"sa3015542"
,33,"Ben Rice","NYY","DH","ST",2026,"35+","Med",,"25.0555555","6' 1""","215","L","R",2021,"Draft","NYY",125000,"Dartmouth","Rice had one of the best surface-level statlines in the 2023 minor leagues as he slashed .324/.434/.615 across three levels, ending the season at Double-A Somerset. I was hoping to juice Rice more than this at the onset of the process for this list, but I left my film study of his defense feeling extremely bearish about his ability to stay behind the plate. There is still big time lefty bat speed here, enough to make Rice interesting as a bat-only prospect. The ferocity in his swing and the strength and flexibility in his lower half are all exciting, and Rice might end up having a two or three year peak in the mold of a Jared Walsh or Justin Bour, or perhaps be deployed the way Blake Sabol was in 2023.",,"sa3016974"
,34,"Jake Gelof","LAD","3B","ST",2026,"40","Med",,"22.0472222","6' 1""","195","R","R",2023,"Draft","LAD",1330000,"Virginia","Gelof's draft stock was built on a foundation of data, specifically his consistent ability to lift the ball in the air. His peak exit velos and consistency of lift approached a 70 on the scouting scale at the college level and for Gelof's age, but the portion of the zone in which he's capable of making contact is somewhat narrow. A ton of his balls in play are hit off middle-away pitches against which Gelof can get fully extended. He can turn on and crush mistakes, but tailing fastballs in on his hands might be a problem in pro ball. Gelof's raw power is big, though, and he probably only needs to be a 40 contact bat to hit for enough pop to be a role-playing infielder. Gelof is a fringe third baseman with a maxed out frame, and he'll have to work to stay at that position. His arm accuracy in particular needs to be more consistent. He was selected higher than he was graded on my 2023 draft rankings and struck out a ton after he signed, reinforcing my pre-draft concerns.",,"sa3022600"
,34,"Carlos D. Rodriguez","MIL","CF","ST",2025,"35+","Med",,"23.2638888","5' 8""","186","L","L",2017,"J2","MIL",1355000,"Venezuela","After tearing his ACL in 2022, Rodriguez slashed .291/.359/.367 at Double-A in 2023. He has been pretty much the same player since entering pro ball, one with plus speed and feel for contact but whose bottom-of-the-scale power and plate discipline undermine those skills. Rodriguez still runs well enough to play center field coming off the ACL and looked even better from a conditioning standpoint in the spring of 2024. His offensive profile is like a serial killer speed dating: lots of slashing, singles only. It's more of a fifth outfielder's skill set than a fourth's because Rodriguez's center field defense is more average than plus.","vcM5bfuL3e4","sa3005478"
,34,"Franklin Rojas","TOR","C",,2030,"35+","High",,"16.9777777","5' 10""","170","S","R",2024,"Intl15","TOR",998000,"Venezuela","Rojas packs quite a punch for such a small hitter, and he's a lot of fun to watch swing because of how much effort and power he has at his size. He may have trouble making contact with this approach, but he's a plus thrower with an okay chance to catch.",,
,34,"Angel Benitez","NYY","SP","DSL",2028,"35+","High",,"20.5055555","6' 7""","204","R","R",2021,"Intl15","NYY",,"Dominican Republic","Benitez had elbow surgery in the middle of the summer of 2022 and didn't pitch at all in 2023. He was one of the biggest and hardest-throwing teenagers in the 2022 DSL, where Benitez sat 93-95 mph throughout a 17-inning season. His fastball has extreme downhill plane because of his height and it's hard to tell how that angle will play against better hitters. His changeup, which has sinking action that plays nicely with his pitches' downhill plane, is his best secondary right now, but Benitez is still in the very early stages. He's an important guy to look for on New York's extended spring roster in the event that he's taken a leap coming out of his rehab.",,"sa3019118"
